Date = 2024-04-06T15:15:53.063Z, EndPoint = /api/v1/getWeatherReports?city_name=wdwdwfd, ErrorMsg = City name  not found
Date = 2024-04-06T15:16:05.763Z, EndPoint = /api/v1/getWeatherReports?city_name=wdwdwfdefefef, ErrorMsg = City name  not found
Date = 2024-04-06T15:17:53.922Z, EndPoint = /api/v1/getWeatherReports?city_name=wdwdwfdefefef, ErrorMsg = city_name is not defined
Date = 2024-04-06T15:18:14.727Z, EndPoint = /api/v1/getWeatherReports?city_name=ranchi, ErrorMsg = city_name is not defined
Date = 2024-04-06T15:18:41.651Z, EndPoint = /api/v1/getWeatherReports?city_name=ranchi, ErrorMsg = Request failed with status code 404
Date = 2024-04-06T15:20:16.998Z, EndPoint = /api/v1/getWeatherReports?city_name=ranchiddd, ErrorMsg = Request failed with status code 404
Date = 2024-04-06T15:20:22.180Z, EndPoint = /api/v1/getWeatherReports?city_name=ranchiddddfef, ErrorMsg = Request failed with status code 404
Date = 2024-04-06T15:20:36.199Z, EndPoint = /api/v1/getWeatherReports?city_name=dwey, ErrorMsg = Request failed with status code 404
Date = 2024-04-06T15:20:59.867Z, EndPoint = /api/v1/getWeatherReports?city_name=dwey, ErrorMsg = Request failed with status code 404
Date = 2024-04-06T15:21:08.153Z, EndPoint = /api/v1/getWeatherReports?city_name=dwey, ErrorMsg = Request failed with status code 404
Date = 2024-04-06T15:21:29.929Z, EndPoint = /api/v1/getWeatherReports?city_name=dwey, ErrorMsg = Request failed with status code 404
